country,project-name,unit-name,capacity-(mw),status,reactor-type,model,owner,operator,lat,lng,location-accuracy,state/province,region,url,areas-subnat-sat-display
United States,St. Lucie nuclear power plant,1,1045.0,operating,pressurized water reactor,CE 2LP (DRYAMB),Florida Power & Light Co [100%],Florida Power & Light,27.3486,-80.2464,exact,Florida,Americas,https://www.gem.wiki/St._Lucie_nuclear_power_plant,"Florida, United States"
United States,St. Lucie nuclear power plant,2,1050.0,operating,pressurized water reactor,CE 2LP (DRYAMB),Florida Power & Light Co [100%],Florida Power & Light,27.3486,-80.2464,exact,Florida,Americas,https://www.gem.wiki/St._Lucie_nuclear_power_plant,"Florida, United States"
United States,St. Rosalie nuclear power plant,1,1200.0,cancelled,unknown,unknown,Louisiana Power & Light [100%],,29.6725,-89.9664,exact,Louisiana,Americas,https://www.gem.wiki/St._Rosalie_nuclear_power_plant,"Louisiana, United States"
United States,St. Rosalie nuclear power plant,2,1200.0,cancelled,unknown,unknown,Louisiana Power & Light [100%],,29.6725,-89.9664,exact,Louisiana,Americas,https://www.gem.wiki/St._Rosalie_nuclear_power_plant,"Louisiana, United States"
United States,Summit nuclear power plant,1,770.0,cancelled,high temperature gas reactor,unknown,Delmarva Power & Light CO [100%],,39.5212,-75.70801,exact,Delaware,Americas,https://www.gem.wiki/Summit_nuclear_power_plant,"Delaware, United States"
United States,Summit nuclear power plant,2,770.0,cancelled,high temperature gas reactor,unknown,Delmarva Power & Light CO [100%],,39.5212,-75.70801,exact,Delaware,Americas,https://www.gem.wiki/Summit_nuclear_power_plant,"Delaware, United States"
United States,Sundesert nuclear power plant,1,974.0,cancelled,pressurized water reactor,unknown,San Diego Gas & Electric Co [100%],,33.4498,-114.7829,exact,California,Americas,https://www.gem.wiki/Sundesert_nuclear_power_plant,"California, United States"
United States,Sundesert nuclear power plant,2,974.0,cancelled,pressurized water reactor,unknown,San Diego Gas & Electric Co [100%],,33.4498,-114.7829,exact,California,Americas,https://www.gem.wiki/Sundesert_nuclear_power_plant,"California, United States"
France,Superphénix nuclear power plant,--,1242.0,retired,fast breeder reactor,Na-1200,Electricité de France SA [100%],Electricité de France,45.7613,5.4701,exact,Auvergne-Rhône-Alpes,Europe,https://www.gem.wiki/Superphénix_nuclear_power_plant,"Auvergne-Rhône-Alpes, France"
United States,Surry Green Energy Center nuclear power plant,1,250.0,announced,small modular reactor,unknown,,,37.1667,-76.6852,exact,Virginia,Americas,https://www.gem.wiki/Surry_Green_Energy_Center_nuclear_power_plant,"Virginia, United States"
United States,Surry Green Energy Center nuclear power plant,2,250.0,announced,small modular reactor,unknown,,,37.1667,-76.6852,exact,Virginia,Americas,https://www.gem.wiki/Surry_Green_Energy_Center_nuclear_power_plant,"Virginia, United States"
United States,Surry Green Energy Center nuclear power plant,3,250.0,announced,small modular reactor,unknown,,,37.1667,-76.6852,exact,Virginia,Americas,https://www.gem.wiki/Surry_Green_Energy_Center_nuclear_power_plant,"Virginia, United States"
United States,Surry Green Energy Center nuclear power plant,4,250.0,announced,small modular reactor,unknown,,,37.1667,-76.6852,exact,Virginia,Americas,https://www.gem.wiki/Surry_Green_Energy_Center_nuclear_power_plant,"Virginia, United States"
United States,Surry Green Energy Center nuclear power plant,5,250.0,announced,small modular reactor,unknown,,,37.1667,-76.6852,exact,Virginia,Americas,https://www.gem.wiki/Surry_Green_Energy_Center_nuclear_power_plant,"Virginia, United States"
United States,Surry Green Energy Center nuclear power plant,6,250.0,announced,small modular reactor,unknown,,,37.1667,-76.6852,exact,Virginia,Americas,https://www.gem.wiki/Surry_Green_Energy_Center_nuclear_power_plant,"Virginia, United States"
United States,Surry nuclear power plant,1,890.0,operating,pressurized water reactor,WH 3LP (DRYSUB),Dominion Resources INC [100%],Dominion Energy,37.1661,-76.6986,exact,Virginia,Americas,https://www.gem.wiki/Surry_nuclear_power_plant,"Virginia, United States"
United States,Surry nuclear power plant,2,890.0,operating,pressurized water reactor,WH 3LP (DRYSUB),Dominion Resources INC [100%],Dominion Energy,37.1661,-76.6986,exact,Virginia,Americas,https://www.gem.wiki/Surry_nuclear_power_plant,"Virginia, United States"
United States,Surry nuclear power plant,3,859.0,cancelled,pressurized water reactor,unknown,Virginia Electric and Power Co [100%],,37.1661,-76.6986,exact,Virginia,Americas,https://www.gem.wiki/Surry_nuclear_power_plant,"Virginia, United States"
United States,Surry nuclear power plant,4,859.0,cancelled,pressurized water reactor,unknown,Virginia Electric and Power Co [100%],,37.1661,-76.6986,exact,Virginia,Americas,https://www.gem.wiki/Surry_nuclear_power_plant,"Virginia, United States"
United States,Susquehanna nuclear power plant,1,1330.0,operating,boiling water reactor,BWR-4 (Mark 2),PPL CORP (former Pennsylvania Power & Light CO (PP&L)) [100%],PPL Susquehanna LLC,41.0919,-76.1462,exact,Pennsylvania,Americas,https://www.gem.wiki/Susquehanna_nuclear_power_plant,"Pennsylvania, United States"
United States,Susquehanna nuclear power plant,2,1330.0,operating,boiling water reactor,BWR-4 (Mark 2),PPL CORP (former Pennsylvania Power & Light CO (PP&L)) [100%],PPL Susquehanna LLC,41.0919,-76.1462,exact,Pennsylvania,Americas,https://www.gem.wiki/Susquehanna_nuclear_power_plant,"Pennsylvania, United States"
North Korea,Taechon nuclear power plant,--,200.0,cancelled,gas-cooled reactor,unknown,,,39.9277,125.5694,exact,North Pyongan,Asia,https://www.gem.wiki/Taechon_nuclear_power_plant,"North Pyongan, North Korea"
China,Taipingling nuclear power plant,1-1,1200.0,construction,pressurized water reactor,HPR-1000,China General Nuclear Power Group Co Ltd [100%],CGN Huizhou Nuclear Power CO LTD,22.694385,114.984522,exact,Guangdong,Asia,https://www.gem.wiki/Taipingling_nuclear_power_plant,"Guangdong, China"
China,Taipingling nuclear power plant,1-2,1200.0,construction,pressurized water reactor,HPR-1000,China General Nuclear Power Group Co Ltd [100%],CGN Huizhou Nuclear Power CO LTD,22.694385,114.984522,exact,Guangdong,Asia,https://www.gem.wiki/Taipingling_nuclear_power_plant,"Guangdong, China"
China,Taipingling nuclear power plant,2-3,1150.0,pre-construction,pressurized water reactor,HPR-1000,China General Nuclear Power Group Co Ltd [100%],CGN Huizhou Nuclear Power CO LTD,22.694385,114.984522,exact,Guangdong,Asia,https://www.gem.wiki/Taipingling_nuclear_power_plant,"Guangdong, China"
China,Taipingling nuclear power plant,2-4,1150.0,pre-construction,pressurized water reactor,HPR-1000,China General Nuclear Power Group Co Ltd [100%],CGN Huizhou Nuclear Power CO LTD,22.694385,114.984522,exact,Guangdong,Asia,https://www.gem.wiki/Taipingling_nuclear_power_plant,"Guangdong, China"
China,Taipingling nuclear power plant,3-5,1150.0,announced,pressurized water reactor,HPR-1000,China General Nuclear Power Group Co Ltd [100%],CGN Huizhou Nuclear Power CO LTD,22.694385,114.984522,exact,Guangdong,Asia,https://www.gem.wiki/Taipingling_nuclear_power_plant,"Guangdong, China"
China,Taipingling nuclear power plant,3-6,1150.0,announced,pressurized water reactor,HPR-1000,China General Nuclear Power Group Co Ltd [100%],CGN Huizhou Nuclear Power CO LTD,22.694385,114.984522,exact,Guangdong,Asia,https://www.gem.wiki/Taipingling_nuclear_power_plant,"Guangdong, China"
China,Taishan nuclear power plant,1-1,1750.0,operating,pressurized water reactor,EPR-1750,Taishan Nuclear Power Industry Investment CO LTD [100%],Taishan Nuclear Power Joint Venture CO LTD,21.918322,112.981793,exact,Guangdong,Asia,https://www.gem.wiki/Taishan_nuclear_power_plant,"Guangdong, China"
China,Taishan nuclear power plant,1-2,1750.0,operating,pressurized water reactor,EPR-1750,Taishan Nuclear Power Industry Investment CO LTD [100%],Taishan Nuclear Power Joint Venture CO LTD,21.918322,112.981793,exact,Guangdong,Asia,https://www.gem.wiki/Taishan_nuclear_power_plant,"Guangdong, China"
China,Taishan nuclear power plant,2-3,1150.0,announced,pressurized water reactor,HPR-1000,Taishan Nuclear Power Industry Investment CO LTD [100%],Taishan Nuclear Power Joint Venture CO LTD,21.918322,112.981793,exact,Guangdong,Asia,https://www.gem.wiki/Taishan_nuclear_power_plant,"Guangdong, China"
China,Taishan nuclear power plant,2-4,1150.0,announced,pressurized water reactor,HPR-1000,Taishan Nuclear Power Industry Investment CO LTD [100%],Taishan Nuclear Power Joint Venture CO LTD,21.918322,112.981793,exact,Guangdong,Asia,https://www.gem.wiki/Taishan_nuclear_power_plant,"Guangdong, China"
Japan,Takahama nuclear power plant,1,826.0,operating,pressurized water reactor,M (3-loop),Kansai Electric Power CO [100%],Kansai Electric Power CO,35.5223,135.5036,exact,,Asia,https://www.gem.wiki/Takahama_nuclear_power_plant,Japan
Japan,Takahama nuclear power plant,2,826.0,operating,pressurized water reactor,M (3-loop),Kansai Electric Power CO [100%],Kansai Electric Power CO,35.5223,135.5036,exact,,Asia,https://www.gem.wiki/Takahama_nuclear_power_plant,Japan
Japan,Takahama nuclear power plant,3,870.0,operating,pressurized water reactor,M (3-loop),Kansai Electric Power CO [100%],Kansai Electric Power CO,35.5223,135.5036,exact,,Asia,https://www.gem.wiki/Takahama_nuclear_power_plant,Japan
Japan,Takahama nuclear power plant,4,870.0,operating,pressurized water reactor,M (3-loop),Kansai Electric Power CO [100%],Kansai Electric Power CO,35.5223,135.5036,exact,,Asia,https://www.gem.wiki/Takahama_nuclear_power_plant,Japan
Kenya,Tana River nuclear power plant,1,1000.0,pre-construction,unknown,unknown,Nuclear Power And Energy Agency [100%],,-2.575,40.3567,approximate,,Africa,https://www.gem.wiki/Tana_River_nuclear_power_plant,Kenya
Kenya,Tana River nuclear power plant,2,3000.0,pre-construction,unknown,unknown,Nuclear Power And Energy Agency [100%],,-2.575,40.3567,approximate,,Africa,https://www.gem.wiki/Tana_River_nuclear_power_plant,Kenya
China,Taohuajiang nuclear power plant,1,1250.0,cancelled,pressurized water reactor,AP-1000,China National Nuclear Power CO LTD [100%],Hunan Taohuajiang Nuclear Power CO LTD,28.5564,111.9928,approximate,Hunan,Asia,https://www.gem.wiki/Taohuajiang_nuclear_power_plant,"Hunan, China"
China,Taohuajiang nuclear power plant,2,1250.0,cancelled,pressurized water reactor,AP-1000,China National Nuclear Power CO LTD [100%],Hunan Taohuajiang Nuclear Power CO LTD,28.5564,111.9928,approximate,Hunan,Asia,https://www.gem.wiki/Taohuajiang_nuclear_power_plant,"Hunan, China"
China,Taohuajiang nuclear power plant,3,1250.0,cancelled,pressurized water reactor,AP-1000,China National Nuclear Power CO LTD [100%],Hunan Taohuajiang Nuclear Power CO LTD,28.5564,111.9928,approximate,Hunan,Asia,https://www.gem.wiki/Taohuajiang_nuclear_power_plant,"Hunan, China"
China,Taohuajiang nuclear power plant,4,1250.0,cancelled,pressurized water reactor,AP-1000,China National Nuclear Power CO LTD [100%],Hunan Taohuajiang Nuclear Power CO LTD,28.5564,111.9928,approximate,Hunan,Asia,https://www.gem.wiki/Taohuajiang_nuclear_power_plant,"Hunan, China"
India,Tarapur nuclear power plant,1,160.0,mothballed,boiling water reactor,BWR-1 (Mark 2),Nuclear Power Corporation Of India LTD [100%],Nuclear Power Corporation Of India LTD,19.8294,72.6617,exact,Maharashtra,Asia,https://www.gem.wiki/Tarapur_nuclear_power_plant,"Maharashtra, India"
India,Tarapur nuclear power plant,2,160.0,mothballed,boiling water reactor,BWR-1 (Mark 2),Nuclear Power Corporation Of India LTD [100%],Nuclear Power Corporation Of India LTD,19.8294,72.6617,exact,Maharashtra,Asia,https://www.gem.wiki/Tarapur_nuclear_power_plant,"Maharashtra, India"
