,Unnamed: 0,GEM Mine ID,name,url,status,capacity_prod,capacity_output,owners,est_emissions,lng,lat,tracker,goget_id,status_year,subnational,Climate TRACE Field Estimate Year,Climate TRACE Field Emissions Factor,areas,Fuel description,Reserves Classification (Converted),Quantity (Converted),Units (Converted),Upstream methane intensity (kg/boe),Reserves Data Year,Quantity (boe),reserves_emissions,GEM Methane Plume ID,Satellite Data Provider,Instrument,date,Provider ID,Satellite Data Provider Ref,plume_emissions,Emissions Uncertainity (kg/hr),Type of Infrastructure,Infrastructure Notes,infra_name,GEM Infrastructure Wiki,Government Well ID (Nearby),California VISTA and other Government ID Assets (Nearby),lat,infra_filter,status_legend,scaling_col
52,52,M0068,Meteor Downs South Coal Mine (MDS),https://www.gem.wiki/Meteor_Downs_South_coal_mine,operating,1.389,,Sojitz Blue Pty Ltd,0.005,-24.433867,148.385912,Coal Mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operating,936.0249636999176
53,53,M0069,Middlemount Coal Mine,https://www.gem.wiki/Middlemount_coal_mine,operating,4.27,,Middlemount Coal Limited,0.003,-22.848131,148.631626,Coal Mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operating,936.0249636999176
54,54,M0072,Moolarben Coal Mine,https://www.gem.wiki/Moolarben_Coal_Mine,operating,16.9,,Moolarben Coal Operations,0.036,-32.2828165,149.7591596,Coal Mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operating,936.0249636999176
55,55,M0074,Moranbah North Coal Mine,https://www.gem.wiki/Moranbah_North_coal_mine,operating,4.124,,Moranbah North,0.038,-21.871331,147.956742,Coal Mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operating,936.0249636999176
56,56,M0075,Mount Arthur Coal Mine,https://www.gem.wiki/Mount_Arthur_coal_mine,operating,19.82,,Hunter Valley Energy Coal,0.07,-32.337022,150.856144,Coal Mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operating,936.0249636999176
57,57,M0076,Mount Pleasant Coal Mine,https://www.gem.wiki/Mount_Pleasant_coal_mine,operating,9.99,,Mach Energy,0.035,-32.25591661,150.8499847,Coal Mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operating,936.0249636999176
58,58,M0077,Mt Owen Coal Mine,https://www.gem.wiki/Mt_Owen_mine,operating,7.4,,Mt Owen Pty Ltd,0.077,-32.4066392,151.085603,Coal Mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operating,936.0249636999176
59,59,M0078,Mt Thorley Warkworth Coal Mine,https://www.gem.wiki/Mt_Thorley_Warkworth_coal_mine,operating,8.1,,Coal & Allied,0.028,-32.60700995,151.0901636,Coal Mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operating,936.0249636999176
60,60,M0080,Myuna Coal Mine,https://www.gem.wiki/Myuna_coal_mine,operating,1.05,,Centennial Myuna Pty Ltd,0.002,-33.060111,151.568738,Coal Mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operating,936.0249636999176
61,61,M0081,Narrabri Coal Mine,https://www.gem.wiki/Narrabri_coal_mine,operating,4.795,,Narrabri Coal Joint Venture,0.044,-30.51820371,149.8976794,Coal Mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operating,936.0249636999176
62,62,M0082,New Acland Coal Mine,https://www.gem.wiki/New_Acland_mine,operating,0.98,,New Acland Coal Pty Limited,0.001,-27.278281,151.710176,Coal Mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operating,936.0249636999176
63,63,M0083,Newlands Coal Mine,https://www.gem.wiki/Newlands_coal_mine,operating,7.802,,Newlands Coal Pty Ltd,0.027,-21.201424,147.887969,Coal Mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operating,936.0249636999176
64,64,M0085,Oaky Creek Coal Mine,https://www.gem.wiki/Oaky_Creek_coal_mine,operating,5.769,,Glencore PLC,0.073,-23.072256,148.483994,Coal Mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operating,936.0249636999176
65,65,M0087,Peak Downs Coal Mine,https://www.gem.wiki/Peak_Downs_coal_mine,operating,18.544,,BHP Billiton Mitsubishi Alliance Pty Ltd,0.065,-22.2548999,148.1796569,Coal Mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operating,936.0249636999176
66,66,M0088,Poitrel Coal Mine,https://www.gem.wiki/Poitrel_mine,operating,5.422,,Stanmore SMC Pty Ltd,0.019,-22.06650421,148.2551254,Coal Mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operating,936.0249636999176
67,67,M0089,Premier Coal Mine,https://www.gem.wiki/Premier_mine,operating,2.8,,Yancoal Australia Ltd,0.002,-33.391728,116.286509,Coal Mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operating,936.0249636999176
68,68,M0091,Ravensworth Coal Mine,https://www.gem.wiki/Ravensworth_mine,operating,12.8,,Ravensworth Operations Pty Limited,0.045,-32.4426478,151.0063967,Coal Mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operating,936.0249636999176
69,69,M0093,Rix Creek Coal Mine,https://www.gem.wiki/Rix_Creek_coal_mine,operating,5.15,,Bloomfield Collieries Pty Ltd,0.018,-32.52393559,151.1208768,Coal Mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operating,936.0249636999176
70,70,M0094,Rolleston Coal Mine,https://www.gem.wiki/Rolleston_coal_mine,operating,13.02,,Rolleston Coal Holdings Pty Ltd,0.046,-24.456609,148.404902,Coal Mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operating,936.0249636999176
71,71,M0096,Saraji Coal Mine,https://www.gem.wiki/Saraji_coal_mine,operating,13.995,,BHP Billiton Mitsubishi Alliance Pty Ltd,0.049,-22.371371,148.299848,Coal Mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operating,936.0249636999176
72,72,M0098,Sonoma Coal Mine,https://www.gem.wiki/Sonoma_Coal_Mine,operating,0.83,,QCoal,0.003,-20.62,147.86,Coal Mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operating,936.0249636999176
73,73,M0099,South Walker Creek Coal Mine,https://www.gem.wiki/South_Walker_Creek_mine,operating,8.007,,Stanmore SMC Pty Ltd,0.028,-21.753393,148.443289,Coal Mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operating,936.0249636999176
74,74,M0102,Springvale Coal Mine,https://www.gem.wiki/Springvale_coal_mine,operating,2.32,,Centennial Springvale Pty Ltd; Boulder Mining Pty Ltd,0.011,-33.4006,150.105627,Coal Mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operating,936.0249636999176
75,75,M0105,Tarrawonga Coal Mine,https://www.gem.wiki/Tarrawonga_coal_mine,operating,1.67,,Tarrawonga Coal Pty Ltd,0.004,-30.639584,150.167277,Coal Mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operating,936.0249636999176
76,76,M0106,Ulan Complex Coal Mine,https://www.gem.wiki/Ulan_coal_mines,operating,10.79,,Ulan Coal Mines Ltd,0.105,-32.242539,149.749697,Coal Mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operating,936.0249636999176
77,77,M0107,United Wambo Coal Mine,https://www.gem.wiki/United_Wambo_coal_project,operating,5.67,,United Collieries and Wambo Coal,0.02,-32.549369,150.984787,Coal Mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operating,936.0249636999176
78,78,M0113,Wambo Underground Coal Mine,https://www.gem.wiki/Wambo_Mine,operating,2,1.1,Wambo Coal Pty Ltd,0.03,-32.575524,151.006688,Coal Mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operating,936.0249636999176
79,79,M0116,Werris Creek Coal Mine,https://www.gem.wiki/Werris_Creek_coal_mine,operating,1.67,,Werris Creek Coal Pty Ltd,0.014,-31.40698,150.6395,Coal Mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operating,936.0249636999176
80,80,M0117,Wilpinjong Coal Mine,https://www.gem.wiki/Wilpinjong_Mine,operating,13.28,12.1,Wilpinjong Coal Pty Ltd,0.047,-32.332,149.885,Coal Mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operating,936.0249636999176
81,81,M0120,Yallourn Coal Mine,https://www.gem.wiki/Yallourn_mine,operating,14.08,,EnergyAustralia Pty Ltd,0.025,-38.195064,146.360402,Coal Mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operating,936.0249636999176
82,82,M0121,Yarrabee Coal Mine,https://www.gem.wiki/Yarrabee_coal_mine,operating,2.95,,Yanzhou Coal Mining Co,0.01,-23.317678,149.026371,Coal Mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operating,936.0249636999176
83,83,M0122,Barapukuria Coal Mine,https://www.gem.wiki/Barapukuria_coal_mine,operating,0.75,,Petrobangla,0.009,25.547269,88.96062,Coal Mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operating,936.0249636999176
84,84,M0125,Vrtliste Coal Mine,https://www.gem.wiki/Vrtliste_Coal_Mine,operating,0.76,,RMU Kakanj doo,0.001,44.14001979,18.09803137,Coal Mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operating,936.0249636999176
85,85,M0126,Kreka Coal Mine,https://www.gem.wiki/Kreka_coal_mine,operating,1.29,,RMU Kreka doo,0.001,44.52,18.606111,Coal Mines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,operating,936.0249636999176
