country/area,project-name,unit-name,project-name-in-local-language-/-script,unit-capacity-(mw),status,start-year,retired-year,operator,owner,lat,lng,location-accuracy,city,state/province,region,gem-unit-id,gem-location-id,url,technology
Ethiopia,Tulu Moye geothermal power plant,1,,50.0,cancelled,,,Meridiam,Reykjavik Geothermal [50%]; Meridiam [50%],8.16711,39.13934,approximate,,Oromiya,Africa,G100000700300,L100000700181,https://www.gem.wiki/Tulu_Moye_geothermal_power_plant,unknown type
Ethiopia,Tulu Moye geothermal power plant,2,,100.0,cancelled,,,Meridiam,Reykjavik Geothermal [50%]; Meridiam [50%],8.16711,39.13934,approximate,,Oromiya,Africa,G100000700301,L100000700181,https://www.gem.wiki/Tulu_Moye_geothermal_power_plant,unknown type
United States,Tungsten Mountain geothermal plant,1,,37.0,operating,2017,,Tungsten Mountain,,39.667,-117.6937,exact,,Nevada,Americas,G100000700302,L100000700182,https://www.gem.wiki/Tungsten_Mountain_geothermal_plant,binary cycle
United States,Tungsten Mountain geothermal plant,2,,26.0,operating,2022,,,Tungsten Mountain [100%],39.667,-117.6937,exact,,Nevada,Americas,G100000700551,L100000700182,https://www.gem.wiki/Tungsten_Mountain_geothermal_plant,binary cycle
Hungary,Turawell Cogeneration geothermal power plant,--,Turawell Geotermikus Kogénerőmű,3.4,operating,2017,,,KS Orka Renewables Pte Ltd,47.63737,19.61842,approximate,,,Europe,G100001048274,L100001042920,https://www.gem.wiki/Tura,binary cycle
Hungary,Turawell geothermal power plant,--,Tura Kaishan Geotermikus Erőmű,40.0,cancelled,,,KS Orka Renewables,Zhejiang Kaishan Pressure Vessel Co Ltd [100%],47.4611,19.0499,approximate,,Budapest,Europe,G100000700303,L100000700183,https://www.gem.wiki/Turawell_geothermal_power_plant,unknown type
Türkiye,Türkerler 1 geothermal power plant,--,Türkerler I Jeotermal Santrali,24.0,operating,,,,Turkeler Energy [100%],38.4045891,28.4290554,approximate,,Manisa,Asia,G100000700457,L100000700250,https://www.gem.wiki/Türkerler_1_geothermal_power_plant,unknown type
Türkiye,Türkerler 2 geothermal power plant,--,,24.0,operating,,,,Turkeler Energy [100%],38.404648,28.4288837,exact,,Manisa,Asia,G100000700458,L100000700251,https://www.gem.wiki/Türkerler_2_geothermal_power_plant,unknown type
Türkiye,Türkerler 3 geothermal power plant,1,,30.0,operating,2018,,,Turkeler Energy [100%],38.3749538,28.5071349,exact,Manisa,,Asia,G100000700305,L100000700184,https://www.gem.wiki/Türkerler_3_geothermal_power_plant,binary cycle
Türkiye,Türkerler 3 geothermal power plant,2,,30.0,operating,2023,,,Turkeler Energy [100%],38.3750126,28.5071349,exact,Manisa,,Asia,G100000700304,L100000700184,https://www.gem.wiki/Türkerler_3_geothermal_power_plant,binary cycle
Türkiye,Türkerler 3 geothermal power plant,3,,30.0,operating,2023,,,Turkeler Energy [100%],38.3750126,28.5071134,exact,,Manisa,Asia,G100000700459,L100000700184,https://www.gem.wiki/Türkerler_3_geothermal_power_plant,binary cycle
Türkiye,Türkerler 3 geothermal power plant,4,,30.0,operating,2023,,,Turkeler Energy [100%],38.3750126,28.5071778,exact,,Manisa,Asia,G100000700460,L100000700184,https://www.gem.wiki/Türkerler_3_geothermal_power_plant,binary cycle
