country,url,plant,unit,chinese_name,owner,parent,capacity,status,year,subnational,lat,lng,region
China,https://www.gem.wiki/Xinwen_Peak_cogen_power_station,Xinwen Peak cogen power station,Unit 4,泰安新汶顶峰热电,Taian Xinwen Peak Heat and Power [100%],Labor Union Committee of Xinwen Mining Group Materials Supply and Marketing Co Ltd [57.0%]; Xinwen Mining Group Co Ltd Zhai Town Coal Mine Trade Union Committee [16.4%]; Shandong Energy Group Co Ltd [14.6%]; Xinwen Mining Group Co Ltd Sun Village Coal Mine Trade Union Committee [5.7%]; Shandong Guohui Investment Co Ltd [4.2%]; Shandong Caixin Asset Operation Co Ltd [2.1%],30,retired,2009,Shandong,35.8676244,117.7032642,Asia
China,https://www.gem.wiki/Xinwen_Xintai_power_station,Xinwen Xintai power station,--,山东能源新汶新泰低热值煤发电项目,Shandong Xinwen Thermal Power [100%],Trade Union Committee of Shandong Liangzhuang Mining Co Ltd [100.0%],300,cancelled,,Shandong,35.857781,117.695952,Asia
China,https://www.gem.wiki/Xinxiang_Baoshan_power_station,Xinxiang Baoshan power station,Unit 1,华电新乡宝山发电厂,Huadian Xinxiang Power Generation [100%],Huadian Power International Co Ltd [97.9%]; other [2.1%],660,operating,2007,Henan,35.3270819,113.4906068,Asia
China,https://www.gem.wiki/Xinxiang_Baoshan_power_station,Xinxiang Baoshan power station,Unit 2,华电新乡宝山发电厂,Huadian Xinxiang Power Generation [100%],Huadian Power International Co Ltd [97.9%]; other [2.1%],660,operating,2007,Henan,35.3270819,113.4906068,Asia
China,https://www.gem.wiki/Xinxiang_Yuxin_power_station,Xinxiang Yuxin power station,Unit 03,国家电投新乡豫新发电厂,Xinxiang Yuxin Power Generation [100%],State Power Investment Corp Ltd [65.3%]; Xinxiang Investment Group Co Ltd [27.2%]; other [7.5%],135,retired,2001,Henan,35.4055133,113.929165,Asia
China,https://www.gem.wiki/Xinxiang_Yuxin_power_station,Xinxiang Yuxin power station,Unit 04,国家电投新乡豫新发电厂,Xinxiang Yuxin Power Generation [100%],State Power Investment Corp Ltd [65.3%]; Xinxiang Investment Group Co Ltd [27.2%]; other [7.5%],135,retired,2003,Henan,35.4055133,113.929165,Asia
China,https://www.gem.wiki/Xinxiang_Yuxin_power_station,Xinxiang Yuxin power station,Unit 07,国家电投新乡豫新发电厂,Xinxiang Yuxin Power Generation [100%],State Power Investment Corp Ltd [65.3%]; Xinxiang Investment Group Co Ltd [27.2%]; other [7.5%],330,operating,2006,Henan,35.4055133,113.929165,Asia
China,https://www.gem.wiki/Xinxiang_Yuxin_power_station,Xinxiang Yuxin power station,Unit 08,国家电投新乡豫新发电厂,Xinxiang Yuxin Power Generation [100%],State Power Investment Corp Ltd [65.3%]; Xinxiang Investment Group Co Ltd [27.2%]; other [7.5%],330,operating,2006,Henan,35.4055133,113.929165,Asia
China,https://www.gem.wiki/Xinxiang_Yuxin_power_station,Xinxiang Yuxin power station,Unit 09,国家电投新乡豫新发电厂,Xinxiang Yuxin Power Generation [100%],State Power Investment Corp Ltd [65.3%]; Xinxiang Investment Group Co Ltd [27.2%]; other [7.5%],1000,cancelled,,Henan,35.4055133,113.929165,Asia
China,https://www.gem.wiki/Xinxiang_Yuxin_power_station,Xinxiang Yuxin power station,Unit 10,国家电投新乡豫新发电厂,Xinxiang Yuxin Power Generation [100%],State Power Investment Corp Ltd [65.3%]; Xinxiang Investment Group Co Ltd [27.2%]; other [7.5%],1000,cancelled,,Henan,35.4055133,113.929165,Asia
