country/area,project-name,fuel,unit-name,project-name-in-local-language-/-script,capacity-(mw),status,start-year,retired-year,hydrogen-capable,operator(s),owner(s),lat,lng,location-accuracy,city,state/province,region,gem-phase-id,url
Brazil,Passa Tempo power station,bioenergy: agricultural waste (solids),2,Usina sucroenergética Passa Tempo,45.0,operating,2013,,,Biosev,Biosev SA [100%],-21.6962,-54.5573,exact,Rio Brilhante,Mato Grosso do Sul,Americas,G100000200630,https://www.gem.wiki/Passa_Tempo_power_station
Brazil,Paulicéia power station,bioenergy: agricultural waste (solids),1,Usina sucroenergética Paulicéia,34.0,operating,2013,,,Usina Caeté,Usina Caeté SA [100%],-21.3093,-51.8471,exact,Paulicéia,São Paulo,Americas,G100000200631,https://www.gem.wiki/Paulicéia_power_station
United States,PCA Valdosta Mill power station,"bioenergy: paper mill wastes, fossil gas: natural gas",TG3,,52.0,operating,2011,,,,Packaging Corporation of America,30.6944,-83.3031,exact,,Georgia,Americas,G100000409503,https://www.gem.wiki/PCA_Valdosta_Mill_power_station
Canada,Peace River Pulp power station,bioenergy: wood & other biomass (solids),1,,30.0,operating,,,,Mercer Peace River Pulp,Mercer Peace River Pulp Ltd [100%],56.3711,-117.1856,exact,,Alberta,Americas,G100000201528,https://www.gem.wiki/Peace_River_Pulp_power_station
Hungary,Pecs power station,bioenergy: wood & other biomass (solids),"5R, timepoint 2",,35.0,operating,1966,,,Pannon Hőerőmű,PannonPower Holding Zrt [100%],46.064103,18.263048,exact,Pecs,Southern Transdanubia,Europe,G1000002498,https://www.gem.wiki/Pecs_power_station
Hungary,Pecs power station,bioenergy: wood & other biomass (solids),6A,,50.0,operating,2004,,,Pannon Hőerőmű,PannonPower Holding Zrt [100%],46.064103,18.263048,exact,Pecs,Southern Transdanubia,Europe,G100000201404,https://www.gem.wiki/Pecs_power_station
Brazil,Pedro Afonso power station,bioenergy: agricultural waste (solids),1,Usina sucroenergética Pedro Afonso,80.0,operating,2013,,,Pedro Afonso Bioenergia,Pedro Afonso Bioenergia Ltda [100%],-9.198,-48.1433,exact,Pedro Afonso,Tocantins,Americas,G100000200632,https://www.gem.wiki/Pedro_Afonso_power_station
United States,Pensacola Mill power station,"bioenergy: paper mill wastes, bioenergy: wood & other biomass (solids), fossil gas: natural gas",GEN1,,40.0,operating,1981,,,International Paper,International Paper Co [100%],30.5966,-87.3264,exact,,Florida,Americas,G100000201653,https://www.gem.wiki/Pensacola_Mill_power_station
United States,Pensacola Mill power station,"bioenergy: paper mill wastes, bioenergy: wood & other biomass (solids), fossil gas: natural gas",GEN2,,43.0,operating,1981,,,International Paper,International Paper Co [100%],30.5966,-87.3264,exact,,Florida,Americas,G100000201654,https://www.gem.wiki/Pensacola_Mill_power_station
India,Perungudi power station,bioenergy: refuse (municipal and industrial wastes),1,,30.0,pre-construction,,,,,Greater Chennai Corp [100%],12.9556,80.2269,exact,,Tamil Nadu,Asia,G100000200202,https://www.gem.wiki/Perungudi_power_station
United Kingdom,Peterborough Green power station,bioenergy: refuse (municipal and industrial wastes),1,,42.0,shelved,,,,Peterborough Green Energy,Peterborough Green Energy Ltd [100%],52.5773,-0.1991,approximate,Peterborough,England,Europe,G100000200310,https://www.gem.wiki/Peterborough_Green_power_station
United States,Piedmont Green Power power station,bioenergy: wood & other biomass (solids),GEN1,,60.0,operating,2013,,,Piedmont Green Power,Piedmont Green Power LLC [100%],33.0453,-84.1256,exact,,Georgia,Americas,G100000200409,https://www.gem.wiki/Piedmont_Green_Power_power_station
Finland,Pietersaari power station,"bioenergy: wood & other biomass (solids), other: other, coal: anthracite",AK1,,30.0,operating,2002,,,,Alholmens Kraft AB Oy [100%],63.7011,22.7096,exact,,,Europe,G100000201381,https://www.gem.wiki/Pietersaari_power_station
United States,Pine Bluff Mill power station,"bioenergy: paper mill wastes, bioenergy: wood & other biomass (solids), other: other",1TG1,,40.0,operating,1958,,,Evergreen Packaging,Pactiv Evergreen [100%],34.2212,-91.9074,exact,,Arkansas,Americas,G100000201655,https://www.gem.wiki/Pine_Bluff_Mill_power_station
