country/area,name-(english),name-(other-language),design-capacity-(ttpa),status,owner,parent,coordinates,coordinate-accuracy,subnational-unit,region,url,total-reserves-(proven-and-probable,total-resource-(inferred,production-2023-(ttpa),production-2022-(ttpa),start-date,lat,lng,scaling_cap
India,Rungta Sons Oraghat Mine,,"10,000",operating,Rungta Sons Pvt Ltd [100.0%],--,"21.925983, 85.306194",exact,Odisha,Oceania,https://gem.wiki/Rungta_Sons_Oraghat_Mine,"54,997","65,170",5240,5780,1986-12-10 00:00:00,21.925983,85.306194,10000
India,Rungta Sons Sanindpur Mine,,"10,000",operating,Rungta Sons Pvt Ltd [100.0%],--,"21.927708, 85.304348",exact,Odisha,Oceania,https://gem.wiki/Rungta_Sons_Sanindpur_Mine,"122,918","152,506",6990,7000,1989-08-01 00:00:00,21.927708,85.304348,10000
India,SA Thwab Sandur Mine,,67,operating,SA Thwab & Co [100.0%],--,"15.148554, 76.452051",exact,Karnataka,Oceania,https://gem.wiki/SA_Thwab_Sandur_Mine,"3,124",unknown,67.49,35,unknown,15.148554,76.452051,67.5
India,Sai Balaji Obulapuram Mine,,100,operating,Sai Balaji Minerals [100.0%],--,"15.056033, 76.859235",exact,Andhra Pradesh,Oceania,https://gem.wiki/Sai_Balaji_Obulapuram_Mine,592,unknown,unknown,0,2007-10-21 00:00:00,15.056033,76.859235,100
India,SAIL Barsua Mine,,"3,500",operating,Steel Authority of India Ltd [100.0%],Steel Authority of India Ltd [100.0%],"21.871274, 85.149584",exact,Odisha,Oceania,https://gem.wiki/SAIL_Barsua_Mine,"130,720","238,249",1468.6875000000002,1481.1562499999998,1960,21.871274,85.149584,3500
India,SAIL Bolani Mine,,"12,000",operating,Steel Authority of India Ltd [100.0%],Steel Authority of India Ltd [100.0%],"22.103431, 85.302394",exact,Odisha,Oceania,https://gem.wiki/SAIL_Bolani_Mine,"101,704","300,854",7110,7416,1960-04-12 00:00:00,22.103431,85.302394,12000
India,SAIL Dalli Mine,,675,operating,Steel Authority of India Ltd [100.0%],Steel Authority of India Ltd [100.0%],"20.570856, 81.021508",exact,Chhattisgarh,Oceania,https://gem.wiki/SAIL_Dalli_Mine,"2,691",unknown,0,0,1965-11-15 00:00:00,20.570856,81.021508,675
India,SAIL Gua (Duarguiburu) Mine,,"12,500",operating,Steel Authority of India Ltd [100.0%],Steel Authority of India Ltd [100.0%],"22.211793, 85.352874",exact,Jharkhand,Oceania,https://gem.wiki/SAIL_Gua_(Duarguiburu)_Mine,"212,810","234,000",5245.312500000001,5289.843749999999,1949,22.211793,85.352874,12500
India,SAIL Gua (Jhillingburu I) Mine,,unknown,proposed,Steel Authority of India Ltd [100.0%],Steel Authority of India Ltd [100.0%],"22.193837, 85.372555",exact,Jharkhand,Oceania,https://gem.wiki/SAIL_Gua_(Jhillingburu_I)_Mine,unknown,unknown,,,unknown,22.193837,85.372555,unknown
India,SAIL Gua (Jhillingburu II) Mine,,unknown,proposed,Steel Authority of India Ltd [100.0%],Steel Authority of India Ltd [100.0%],"22.195269, 85.376747",approximate,Jharkhand,Oceania,https://gem.wiki/SAIL_Gua_(Jhillingburu_II)_Mine,unknown,unknown,,,unknown,22.195269,85.376747,unknown
India,SAIL Jharan Dalli Mine,,"14,000",operating,Steel Authority of India Ltd [100.0%],Steel Authority of India Ltd [100.0%],"20.563854, 81.046262",exact,Chhattisgarh,Oceania,https://gem.wiki/SAIL_Jharan_Dalli_Mine,"301,950",unknown,5370,5938,1958,20.563854,81.046262,14000
India,SAIL Kalta Mine,,"4,000",operating,Steel Authority of India Ltd [100.0%],Steel Authority of India Ltd [100.0%],"21.973018, 85.213118",exact,Odisha,Oceania,https://gem.wiki/SAIL_Kalta_Mine,"96,010","121,746",3187,3168,1966,21.973018,85.213118,4000
India,SAIL Kiriburu Mine,,"7,500",operating,Steel Authority of India Ltd [100.0%],Steel Authority of India Ltd [100.0%],"22.072726, 85.267298",exact,Jharkhand,Oceania,https://gem.wiki/SAIL_Kiriburu_Mine,"59,500","116,020",3147.1875000000005,3173.9062499999995,1964,22.072726,85.267298,7500
India,SAIL Mahamaya-Dulki Mine,,"1,460",operating,Steel Authority of India Ltd [100.0%],Steel Authority of India Ltd [100.0%],"20.485727, 80.988404",exact,Chhattisgarh,Oceania,https://gem.wiki/SAIL_Mahamaya-Dulki_Mine,"31,810",unknown,1374,1361,1971-11-04 00:00:00,20.485727,80.988404,1460
India,SAIL Manoharpur (Ankua) Mine,,unknown,proposed,Steel Authority of India Ltd [100.0%],Steel Authority of India Ltd [100.0%],"22.257168, 85.233805",exact,Jharkhand,Oceania,https://gem.wiki/SAIL_Manoharpur_(Ankua)_Mine,unknown,unknown,,,unknown,22.257168,85.233805,unknown
India,SAIL Manoharpur (Dhobil) Mine,,750,operating,Steel Authority of India Ltd [100.0%],Steel Authority of India Ltd [100.0%],"22.261726, 85.273121",exact,Jharkhand,Oceania,https://gem.wiki/SAIL_Manoharpur_(Dhobil)_Mine,"41,600","442,745",341,75,1982,22.261726,85.273121,750
India,SAIL Manoharpur (Tatiburu) Mine,,unknown,proposed,Steel Authority of India Ltd [100.0%],Steel Authority of India Ltd [100.0%],"22.276383, 85.194537",approximate,Jharkhand,Oceania,https://gem.wiki/SAIL_Manoharpur_(Tatiburu)_Mine,unknown,unknown,,,unknown,22.276383,85.194537,unknown
India,SAIL Meghahatuburu Mine,,"8,500",operating,Steel Authority of India Ltd [100.0%],Steel Authority of India Ltd [100.0%],"22.106718, 85.279108",exact,Jharkhand,Oceania,https://gem.wiki/SAIL_Meghahatuburu_Mine,"28,380","57,900",3566.8125,3597.0937499999995,1985,22.106718,85.279108,8500
India,SAIL Rajhara Mine,,"3,500",operating,Steel Authority of India Ltd [100.0%],Steel Authority of India Ltd [100.0%],"20.569840, 81.095046",exact,Chhattisgarh,Oceania,https://gem.wiki/SAIL_Rajhara_Mine,"48,720","200,000",1665,1400,1959-12-31 00:00:00,20.56984,81.095046,3500
India,SAIL Rowghat Mine,,"2,000",operating,Steel Authority of India Ltd [100.0%],Steel Authority of India Ltd [100.0%],"19.747479, 81.139969",exact,Chhattisgarh,Oceania,https://gem.wiki/SAIL_Rowghat_Mine,"511,000",unknown,95,0.12999999999999998,2021-02-05 00:00:00,19.747479,81.139969,2000
India,SAIL Taldih Mine,,"3,000",operating,Steel Authority of India Ltd [100.0%],Steel Authority of India Ltd [100.0%],"21.901902, 85.157258",exact,Odisha,Oceania,https://gem.wiki/SAIL_Taldih_Mine,"328,260","387,324",1210,1250,2016,21.901902,85.157258,3000
India,Sankalp Agrawal Bijaiya Mine,,100,operating,natural person(s) [100.0%],natural person(s) [100.0%],"23.357921, 80.189089",exact,Madhya Pradesh,Oceania,https://gem.wiki/Sankalp_Agrawal_Bijaiya_Mine,"1,150","1,516",93,0,2010-03-01 00:00:00,23.357921,80.189089,100
India,Sarda Dongarbor Mine,,"1,500",operating,Sarda Energy & Minerals Ltd [100.0%],Sarda Energy & Minerals Ltd [100.0%],"20.442795, 80.920334",exact,Chhattisgarh,Oceania,https://gem.wiki/Sarda_Dongarbor_Mine,"9,100",unknown,unknown,299,2003-04-17 00:00:00,20.442795,80.920334,1500
India,SB Minerals Venkatagiri Mine,,200,operating,SB Minerals [100.0%],--,"15.204026, 76.400078",exact,Karnataka,Oceania,https://gem.wiki/SB_Minerals_Venkatagiri_Mine,unknown,unknown,unknown,unknown,unknown,15.204026,76.400078,200
India,SBPIL Hahaladdi Mine,,"1,400",operating,Shri Bajrang Power and Ispat Ltd [100.0%],Banka Finance & Securities Pvt Ltd [15.9%]; Atlanta Securities Pvt Ltd [15.6%]; Pawan Goel [6.3%]; Sukanya Merchandise Pvt Ltd [5.5%]; Bonus Dealcom Pvt Ltd [5.5%],"20.193026, 80.903165",exact,Chhattisgarh,Oceania,https://gem.wiki/SBPIL_Hahaladdi_Mine,"4,096","5,082",673,990,2015-02-09 00:00:00,20.193026,80.903165,1400
India,SC Padhee Gurubeda Mine,,400,operating,natural person(s) [100.0%],natural person(s) [100.0%],"21.970685, 85.446024",exact,Odisha,Oceania,https://gem.wiki/SC_Padhee_Gurubeda_Mine,"4,938","6,674",unknown,unknown,1972-09-22 00:00:00,21.970685,85.446024,400
India,SD Sharma Raika Mine,,50,mothballed,natural person(s) [100.0%],natural person(s) [100.0%],"20.047104, 84.228651",approximate,Odisha,Oceania,https://gem.wiki/SD_Sharma_Raika_Mine,"5,070","5,879",,,1979,20.047104,84.228651,50
India,Serajuddin Balda Mine,,"15,000",operating,Serajuddin & Co [100.0%],Serajuddin & Co [100.0%],"21.882824, 85.403858",exact,Odisha,Oceania,https://gem.wiki/Serajuddin_Balda_Mine,"188,338","200,110",3856,7151,1962,21.882824,85.403858,15000
