gem-terminal-id,gem-unit/phase-id,parent-port-name,country/area,coal-terminal-name,coal-terminal-name-(detail-or-other),capacity-(mt),status,start-year,retired-year,location-accuracy,owner,lat,lng,state/province,region,url,capacity_mt_display
T1387,T01387,Macuse Port,Mozambique,Macuse Port Coal Terminal,,33,proposed,2024,,Approximate,ItalianThai Development,-17.706944,37.189444,Zambezia,Africa,https://www.gem.wiki/Macuse_Port,33
T1241,T01241,Maputo Port,Mozambique,Matola Coal Terminal (GML),Grindrod Mozambique Limitada,4,operating,,,Exact,Grindrod Limited,-25.959202,32.502,Maputo,Africa,https://www.gem.wiki/Matola_Coal_Terminal,4
T1243,T01243,Maputo Port,Mozambique,Matola Coal Terminal (TCM),Terminal de Carvão da Matola,7.5,operating,,,Exact,Grindrod Limited,-25.959202,32.502,Maputo,Africa,https://www.gem.wiki/Matola_Coal_Terminal,7.5
T1243,T01388,Maputo Port,Mozambique,Matola Coal Terminal (TCM),,10.5,proposed,,,Exact,Grindrod Limited,-25.959202,32.502,Maputo,Africa,https://www.gem.wiki/Matola_Coal_Terminal,10.5
T1240,T01240,Nacala Port,Mozambique,Nacala Port Coal Termina,,18,operating,2015,,Exact,"Caminhos de Ferro de Moçambique, Mitsui & Co., Vale",-14.542878,40.670722,Nampula,Africa,https://www.gem.wiki/Nacala_port,18
T1438,T01438,Beira Port,Mozambique,New Coal Terminal Beira (NCTB),,10,shelved,,,Exact,"CFM, Essar Group",-19.815875,34.836566,Sofala,Africa,https://www.gem.wiki/New_Coal_Terminal_Beira_(NCTB),10
T1244,T01244,Port of Walvis Bay,Namibia,Port of Walvis Bay Coal Terminal,,5,operating,,,Exact,Namibia Ports Authority,-22.956111,14.508056,Walvis Bay,Africa,https://www.gem.wiki/Port_of_Walvis_Bay,5
T1439,T01439,Port of Walvis Bay,Namibia,Southern African Gateway Port Coal Terminal,"SADC Gateway Port, North Port",100,cancelled,,,Exact,Namibia Ports Authority,-22.956111,14.508056,Walvis Bay,Africa,https://www.gem.wiki/Port_of_Walvis_Bay,100
T1247,T01247,Port of Amsterdam,Netherlands,Afrikahaven Coal Terminal,Rietlanden Terminals,*,operating,2006,,Exact,JERA Global Markets,52.42097,4.73972,North Holland,Europe,https://www.gem.wiki/Rietlanden_Terminals,
T1246,T01246,Port of Amsterdam,Netherlands,Amerikahaven Coal Terminal,"Rietlanden Terminals, Aziëhaven Terminal ",*,operating,1989,,Exact,JERA Global Markets,52.41733,4.76536,North Holland,Europe,https://www.gem.wiki/Rietlanden_Terminals,
T1250,T01250,Port of Rotterdam,Netherlands,EBS Terminals,"Europoort Terminal, Laurenshaven Terminal",12,operating,,,Approximate,European Bulk Services,51.885,4.2867,South Holland,Europe,https://www.gem.wiki/EBS_Terminals,12
T1249,T01249,Port of Rotterdam,Netherlands,EECV Terminal,,16,operating,1967,,Exact,"Thyssenkrupp Steel AG, Hüttenwerke Krupp Mannesmann Gmbh",51.96082452,4.105410041,South Holland,Europe,https://www.gem.wiki/EECV_Terminal,16
T1251,T01251,Port of Rotterdam,Netherlands,EMO Terminal,Maasvlakte,60,operating,,,Exact,EMO,51.938952,4.038153525,South Holland,Europe,https://www.gem.wiki/EMO_Terminal,60
