gem-terminal-id,gem-unit/phase-id,parent-port-name,country/area,coal-terminal-name,coal-terminal-name-(detail-or-other),capacity-(mt),status,start-year,retired-year,location-accuracy,owner,lat,lng,state/province,region,url
T1174,T01174,Magadalla Port,India,Magadalla Port Coal Terminal,,6.5,Operating,-,-,Exact,Gujarat Maritime Board,21.140539,72.736402,Gujarat,Asia,https://www.gem.wiki/Magdalla_Port
T1173,T01173,Mormugao Port,India,Mormugao Port Coal Terminal,,12.5,Operating,-,-,Exact,Mormugao Port Trust (MPT),15.41315547,73.79665519,Goa,Asia,https://www.gem.wiki/Mormugao_Port
T1020,T01020,Mormugao Port,India,Mormugao Port Terminal,,6.99,Cancelled,-,-,Exact,Mormugao Port Trust (MPT),15.409809,73.801389,Goa,Asia,https://www.gem.wiki/Mormugao_Port
T1161,T01161,Muldwarka Port,India,Muldwarka Port Coal Terminal,,2.2,Operating,-,-,Exact,Gujarat Maritime Board,20.77583,70.60861,Gujarat,Asia,https://www.gem.wiki/Muldwarka_Port
T1166,T01166,Mundra Port,India,Mundra Port Coal Terminal,,60,Operating,-,-,Exact,Adani Group,22.75486744,69.55996119,Gujarat,Asia,https://www.gem.wiki/Mundra_Port
T1168,T01168,Navlakhi Port,India,Navlakhi Port Coal Terminal,,8,Operating,-,-,Exact,Gujarat Maritime Board,22.957297,70.449298,Gujarat,Asia,https://www.gem.wiki/Navlakhi_Port
T1168,T11379,Navlakhi Port,India,Navlakhi Port Coal Terminal,,12,Proposed,-,-,Exact,Gujarat Maritime Board,22.957297,70.449298,Gujarat,Asia,https://www.gem.wiki/Navlakhi_Port
T1167,T01167,New Mangalore Port,India,New Mangalore Port Coal Terminal,,21,Operating,-,-,Exact,New Mangalore Port Trust (NMPT); JSW Infrastructure Ltd.,12.922086,74.815178,Karnataka,Asia,https://www.gem.wiki/New_Mangalore_Port
T1158,T01158,Okha Port,India,Okha Port Coal Terminal,,5,Operating,-,-,Exact,Gujarat Maritime Board,22.470229,69.081688,Gujarat,Asia,https://www.gem.wiki/Okha_Port
T1018,T01018,Panjim (Panaji) Port,India,Panjim (Panaji) Port Terminal,,*,Cancelled,-,-,Exact,Government of Goa,15.49222,73.81611,Goa,Asia,https://www.gem.wiki/Panjim_(Panaji)_Port
T1163,T01163,Paradip Port,India,Paradip Port Coal Terminal,,25,Operating,-,-,Exact,Paradip Port Trust (PPT),20.278703,86.671786,Odisha,Asia,https://www.gem.wiki/Paradip_Port
T1057,T01057,Paradip Port,India,Paradip Port Dry Bulk Terminal,,25,Construction,2025,-,Exact,-,20.278703,86.671786,Odisha,Asia,https://www.gem.wiki/Paradip_Port
T1153,T01153,Pipavav Port,India,Pipavav Port Coal Terminal,,4,Operating,-,-,Exact,APM Terminals,20.922441,71.507478,Gujarat,Asia,https://www.gem.wiki/Pipavav_Port
T1016,T01016,Pipavav Port,India,Pipavav Port Terminal,,5,Cancelled,-,-,Exact,APM Terminals,20.922441,71.507478,Gujarat,Asia,https://www.gem.wiki/Pipavav_Port
T1172,T01172,Porbandar Port,India,Porbandar Port Coal Terminal,,3,Operating,-,-,Exact,Gujarat Maritime Board,21.640436,69.593775,Gujarat,Asia,https://www.gem.wiki/Porbandar_Port
T1413,T01413,Port of Chennai,India,Port of Chennai Coal Terminal,,8,Retired,-,-,Exact,Chennai Port Trust,13.085456,80.296283,Tamil Nadu,Asia,https://www.gem.wiki/Port_of_Chennai
T1432,T01432,Rewas Port,India,Rewas Port Coal Terminal,Revas Port,66,Shelved,-,-,Approximate,"Jawaharlal Nehru Port Trust, Maharashtra Maritime Board",18.79178,72.914995,Maharashtra,Asia,https://www.gem.wiki/Rewas_Port
T1159,T01159,Salaya Port,India,Salaya Port Coal Terminal,,7.5,Operating,-,-,Exact,Essar Group,22.367169,69.621535,Gujarat,Asia,https://www.gem.wiki/Salaya_port
T1164,T01164,Sikka Port,India,Sikka Port Coal Terminal,,3,Operating,-,-,Exact,Shree Cement,22.433723,69.820199,Gujarat,Asia,https://www.gem.wiki/Sikka_Port
T1017,T01017,Trombay Port,India,Trombay Coal Terminal,,2,Cancelled,-,-,Exact,Tata Group,18.991606,72.908227,Maharashtra,Asia,https://www.gem.wiki/Trombay_Coal_Terminal
T1017,T01169,Trombay Port,India,Trombay Coal Terminal,,2.4,Operating,-,-,Exact,Tata Group,18.991606,72.908227,Maharashtra,Asia,https://www.gem.wiki/Trombay_Coal_Terminal
T1165,T01165,Tuna Tekra Port,India,Tuna Tekra Port Coal Terminal,,20,Operating,2015,-,Exact,Adani Group,22.9076453,70.1043606,Gujarat,Asia,https://www.gem.wiki/Tuna_Tekra_Port
T1058,T01058,Tuticorin Port,India,Tuticorin Port Coal Terminal,,23,Construction,-,-,Exact,V.O. Chidambaranar Port Trust,8.756765311,78.21200194,Tamil Nadu,Asia,https://www.gem.wiki/Tuticorin_Port
T1058,T01176,Tuticorin Port,India,Tuticorin Port Coal Terminal,,29,Operating,-,-,Exact,V.O. Chidambaranar Port Trust,8.756765311,78.21200194,Tamil Nadu,Asia,https://www.gem.wiki/Tuticorin_Port
T1415,T01415,Visakhapatnam Port,India,Visakhapatnam Port Adani Terminal,,6.4,Retired,-,2017,Exact,Adani Group,17.68333,83.2833,Andhra Pradesh,Asia,https://www.gem.wiki/Visakhapatnam_Port
T1177,T01177,Visakhapatnam Port,India,Visakhapatnam Port Coal Terminal,,19.7,Operating,-,-,Exact,Visakhapatnam Port Trust (VPT),17.68333,83.2833,Andhra Pradesh,Asia,https://www.gem.wiki/Visakhapatnam_Port
T1021,T01021,Visakhapatnam Port,India,Visakhapatnam Port Terminal,,13.36,Cancelled,-,-,Exact,"SEW Infrastructure, ALBA",17.68333,83.2833,Andhra Pradesh,Asia,https://www.gem.wiki/Visakhapatnam_Port
T1382,T01382,Wadhwan Port,India,Wadhwan Port Coal Terminal,Vadhavan Port,25,Proposed,-,-,Approximate,"Jawaharlal Nehru Port Trust, Maharashtra Maritime Board",19.933349,72.664271,Maharashtra,Asia,https://www.gem.wiki/Wadhwan_Port
T1437,T01437,-,Indonesia,Aceh Selatan Coal Terminal,,*,Cancelled,-,-,Approximate,-,3.133333,97.45,Sumatra,Asia,https://www.gem.wiki/Aceh_Selatan_coal_terminal
T1215,T01215,Tanah Merah,Indonesia,Adang Bay Anchorage Coal Terminal,,21.8,Operating,-,-,Exact,Kideco Jaya Agung,-1.697955,116.31968,East Kalimantan,Asia,https://www.gem.wiki/Adang_Bay_Port
T1218,T01218,-,Indonesia,Apar Bay Anchorage Coal Terminal,,1,Operating,-,-,Exact,-,-1.9,116.616667,East Kalimantan,Asia,https://www.gem.wiki/Apar_Bay_anchorage
